,ID,scientific name,date,coordinates
0,1584378206,Lepidochelys olivacea,1998-01-01T00:00:00Z,"152.4182,-24.7705"
1,1584378205,Natator depressus,1997-01-01T00:00:00Z,"152.4683,-24.8483"
2,1584378204,Natator depressus,1975-01-01T00:00:00Z,"152.4548,-24.805999999999997"
3,1584378203,Lepidochelys olivacea,1999-01-01T00:00:00Z,"142.293,-10.7191"
4,1584378202,Caretta caretta,1998-01-01T00:00:00Z,"152.4683,-24.8483"
5,1584378201,Lepidochelys olivacea,1968-01-01T00:00:00Z,"152.4548,-24.805999999999997"
6,1584378200,Natator depressus,1999-01-01T00:00:00Z,"142.293,-10.7191"
7,1584378199,Caretta caretta,1974-01-01T00:00:00Z,"152.4548,-24.805999999999997"
8,1584378198,Natator depressus,1980-01-01T00:00:00Z,"152.4548,-24.805999999999997"
9,1584378197,Lepidochelys olivacea,1974-01-01T00:00:00Z,"152.4548,-24.805999999999997"
10,1584378196,Lepidochelys olivacea,1970-01-01T00:00:00Z,"152.4548,-24.805999999999997"
11,1584378195,Natator depressus,1979-01-01T00:00:00Z,"152.4548,-24.805999999999997"
12,1584378194,Lepidochelys olivacea,1979-01-01T00:00:00Z,"152.4548,-24.805999999999997"
13,1584378193,Lepidochelys olivacea,1972-01-01T00:00:00Z,"152.4548,-24.805999999999997"
14,1584378192,Caretta caretta,1997-01-01T00:00:00Z,"152.4182,-24.7705"
15,1584378191,Lepidochelys olivacea,1978-01-01T00:00:00Z,"152.4548,-24.805999999999997"
16,1584378190,Natator depressus,1977-01-01T00:00:00Z,"152.4548,-24.805999999999997"
17,1584378189,Lepidochelys olivacea,1997-01-01T00:00:00Z,"152.4683,-24.8483"
18,1584378188,Natator depressus,1998-01-01T00:00:00Z,"152.4182,-24.7705"
19,1584378187,Lepidochelys olivacea,1998-01-01T00:00:00Z,"152.4683,-24.8483"
20,1584378186,Lepidochelys olivacea,1997-01-01T00:00:00Z,"152.4182,-24.7705"
21,1584378185,Natator depressus,1998-01-01T00:00:00Z,"152.4683,-24.8483"
22,1584378184,Natator depressus,1978-01-01T00:00:00Z,"152.4548,-24.805999999999997"
23,1584378183,Lepidochelys olivacea,1980-01-01T00:00:00Z,"152.4367,-24.7914"
24,1584378182,Natator depressus,1974-01-01T00:00:00Z,"152.4548,-24.805999999999997"
25,1584378181,Lepidochelys olivacea,1997-01-01T00:00:00Z,"152.4563,-24.8048"
26,1584378180,Caretta caretta,1975-01-01T00:00:00Z,"152.4548,-24.805999999999997"
27,1584378179,Natator depressus,1997-01-01T00:00:00Z,"152.4182,-24.7705"
28,1584378178,Natator depressus,1997-01-01T00:00:00Z,"152.4563,-24.8048"
29,1584378177,Lepidochelys olivacea,1968-01-01T00:00:00Z,"152.4367,-24.7914"
30,1584378176,Caretta caretta,1973-01-01T00:00:00Z,"152.4548,-24.805999999999997"
31,1584378175,Caretta caretta,1969-01-01T00:00:00Z,"152.4548,-24.805999999999997"
32,1584378174,Caretta caretta,1997-01-01T00:00:00Z,"152.4563,-24.8048"
